GN_ID,Name,Identifier,Description,Latitude,Longitude,Type,State,FIPS,County,Region,Topo
4190756,Dark Thick,,,31.09547,-82.15253,SWMP,GA,25,Brantley,Georgia Coast
4190826,Davidson Landing,,,31.06439,-81.93234,,GA,25,Brantley,Georgia Coast
4190828,Davidson School (historical),,,31.08273,-81.93456,SCH,GA,25,Brantley,Georgia Coast
4191055,Dead River,,,31.25356,-81.86372,STM,GA,25,Brantley,Georgia Coast
4191057,Dead River,,,31.21189,-81.87733,INLT,GA,25,Brantley,Georgia Coast
4191174,Deep Slough,,,31.25939,-81.85872,INLT,GA,25,Brantley,Georgia Coast
4191230,Deerwood Lake,,,31.20689,-81.85983,RSV,GA,25,Brantley,Georgia Coast
4191231,Deerwood Lake Dam,,,31.20689,-81.85983,DAM,GA,25,Brantley,Georgia Coast
4191547,Dix Branch,,,31.22717,-82.14623,STM,GA,25,Brantley,Georgia Coast
4191548,Ditch Lake,,,31.19773,-81.86511,LK,GA,25,Brantley,Georgia Coast
4191669,Doe Lake,,,31.18003,-81.86933,LK,GA,25,Brantley,Georgia Coast
4192003,Dowling Bridge (historical),,,31.203,-82.1954,BDG,GA,25,Brantley,Georgia Coast
4192004,Dowling Cemetery,,,31.08912,-81.92511,CMTY,GA,25,Brantley,Georgia Coast
4192005,Dowling Ford,,,31.2755,-82.07651,RDJCT,GA,25,Brantley,Georgia Coast
4192007,Dowlings Ferry Landing,,,31.27328,-82.05901,,GA,25,Brantley,Georgia Coast
4192061,Dreading Lake,,,31.29385,-81.90467,LK,GA,25,Brantley,Georgia Coast
4192102,Drurys Lake,,,31.28176,-81.86983,LK,GA,25,Brantley,Georgia Coast
4192203,Dubberly Landing,,,31.07939,-81.92761,,GA,25,Brantley,Georgia Coast
4192701,East Side Church,,,31.23689,-81.7815,CH,GA,25,Brantley,Georgia Coast
4194549,Felton Lake,,,31.1635,-81.85705,LK,GA,25,Brantley,Georgia Coast
4194553,Fendig,,,31.34022,-81.84039,PPL,GA,25,Brantley,Georgia Coast
